ten_benh,trieu_chung_goc,symptoms_extract,negated_symptoms,duration,icd_code,icd_name,confidence
bạch cầu cấp,"ở giai đoạn đầu, bệnh bạch cầu cấp tính thường diễn ra âm thầm, khi bệnh tiến triển có thể gây ra một số triệu chứng gồm: 1. nhiễm khuẩn khi lượng tế bào bạch cầu ở máu ngoại vi bị suy giảm do bệnh bạch cầu cấp tính sẽ khiến cơ thể mất khả năng chống lại sự tấn công của các tác nhân gây nhiễm khuẩn như virus, vi khuẩn một số biểu hiện của tình trạng nhiễm khuẩn bao gồm sốt cao, ho, đau họng, viêm phổi, nhiễm trùng tiêu hoá, nôn ói, tiêu chảy, 2. thiếu máu bệnh lý bạch cầu cấp có ảnh hưởng nghiêm trọng đến số lượng và chức năng của tế bào hồng cầu. khi đó, các cơ quan trong cơ thể không nhận đủ lượng oxy cần thiết để duy trì hoạt động và dẫn đến tình trạng thiếu máu. một số biểu hiện cho thấy cơ thể đang gặp phải tình trạng thiếu máu, gồm: khó thở, mệt mỏi, chóng mặt 3. nguy cơ chảy máu tiểu cầu là tế bào máu đảm nhiệm vai trò giúp đông máu. tình trạng suy giảm tiểu cầu do bạch cầu cấp có thể làm tăng nguy cơ xuất huyết trong cơ thể, dẫn đến một số triệu chứng như chảy máu mũi, xuất huyết dưới da, chảy máu chân răng, đi đại tiện ra máu 4. hiện tượng tăng sinh của tế bào ung thư máu một số triệu chứng bệnh bạch cầu cấp liên quan đến tình trạng tăng sinh của tế bào máu ác tính bao gồm gan to, lách to, hạch to, phì đại nướu răng thậm chí nếu các tế bào này xâm lấn đến hệ thần kinh trung ương có thể gây rối loạn thị giác, đau đầu dữ dội, động kinh","sốt cao
ho
viêm phổi
nhiễm trùng tiêu hoá
nôn
tiêu chảy
chảy máu mũi
khó thở
động kinh
xuất huyết dưới da
hạch to
giảm do bệnh bạch cầu cấp
rối loạn thị giác
đau đầu dữ dội
chảy máu chân răng
chóng mặt
xuất huyết tiểu cầu
tiểu cầu do bạch cầu cấp
tiểu cầu là tế bào máu",Không có,không có,C92.0,Bệnh bạch cầu dạng tủy cấp,0.7125
bạch cầu giảm,"bệnh giảm bạch cầu có thể không biểu hiện bất kỳ dấu hiệu nào. tuy nhiên, các tình trạng bệnh lý tiềm ẩn làm bạch cầu giảm có thể gây ra triệu chứng như: sốt ớn lạnh đổ mồ hôi nhịp tim nhanh đau họng chóng mặt mệt mỏi các triệu chứng giống như cúm phát ban da các vết loét liên tục tái phát (đặc biệt là ở miệng) đau khớp cảm giác nóng rát khi đi tiểu tình trạng bạch cầu giảm dai dẳng có thể khiến bệnh nhiễm trùng tái phát liên tục, kéo dài và ngày càng nghiêm trọng. do đó, việc chẩn đoán và điều trị sớm là rất cần thiết.","sốt
ớn lạnh
đổ mồ hôi
nhịp tim nhanh
chóng mặt
mệt mỏi
phát ban da
loét liên tục tái phát
đau khớp
nhiễm trùng tái phát liên tục
tiểu rát",mỏi,"liên tục, kéo dài và ngày càng nghiêm trọng",C94.0,Bệnh bạch cầu dạng tăng hồng cầu,0.5033
bạch cầu tăng,"hầu hết các trường hợp bị tăng bạch cầu đều xuất hiện một hay nhiều dấu hiệu điển hình sau đây: sốt mệt mỏi khó thở thở khò khè đổ mồ hôi đêm giảm cân mất kiểm soát phát ban trên da dễ bị bầm tím triệu chứng dễ bị bầm tím có thể là dấu hiệu cảnh báo giảm tiểu cầu hoặc bệnh bạch cầu cấp tính nghiêm trọng 3 . trường hợp mắc bệnh bạch cầu cấp tính nghiêm trọng, lượng bạch cầu tăng hay tăng bạch cầu cao có thể làm máu đặc lại, dẫn đến giảm lưu lượng máu, cuối cùng gây ra hội chứng tăng độ nhớt máu. tình trạng này có thể gây ra nhiều biến chứng đáng lo ngại như: đột quỵ, chảy máu trong, suy giảm thị lực","giảm thị lực
tăng độ nhớt máu
khó thở
giảm tiểu cầu hoặc bệnh bạch
thở khò khè
phát ban
bầm tím triệu chứng
bầm tím có thể là dấu
mất kiểm soát phát ban trên
giảm cân mất kiểm soát phát
giảm cân",Không có,không có,C94.0,Bệnh bạch cầu dạng tăng hồng cầu,0.6836
bạch hầu,"tuỳ vào vị trí mà vi khuẩn xâm nhập và gây tổn thương trên cơ thể người bệnh mà người bệnh bạch hầu có thể gặp những triệu chứng khác nhau, cụ thể: bệnh bạch hầu mũi: bệnh nhân sổ mũi, chảy ra chất mủ nhầy đôi khi có máu, có màng trắng ở vách ngăn mũi. thể bệnh thường nhẹ do độc tố vi khuẩn ít thâm nhập vào máu. bệnh bạch hầu họng và amidan: bệnh nhân mệt mỏi, đau cổ họng, chán ăn, sốt nhẹ. sau 2 3 ngày xuất hiện hoại tử, tạo thành lớp giả mạc màu trắng xanh, dai và dính chắc vào amiđan, hoặc có thể lan rộng bao phủ cả vùng hầu họng. trong một số trường hợp, bệnh nhân có thể sưng nề vùng dưới hàm và sưng các hạch vùng cổ, làm cổ bạnh ra đôi khi gây khó thở, nhất là ở trẻ nhỏ. những trường hợp nhiễm độc nặng bệnh nhân sẽ phờ phạc, xanh tái, mạch nhanh, đờ đẫn, hôn mê. nếu không được điều trị tích cực, những bệnh nhân này có thể tử vong trong vòng 6 đến 10 ngày. bạch hầu thanh quản: là thể bệnh tiến triển nhanh và nguy hiểm. bệnh nhân có dấu hiệu sốt nhẹ, khàn tiếng, ho, các giả mạc xuất hiện tại thanh quản hoặc từ hầu họng lan xuống. nếu không được điều trị kịp thời, các giả mạc có thể gây tắc đường thở, làm bệnh nhân suy hô hấp và tử vong nhanh chóng. ngoài những vị trí kể trên, vi khuẩn còn có thể gây bệnh ở một số vị trí khác nhưng những trường hợp này rất hiếm và có tiến triển bệnh nhẹ.","sổ mũi
chảy ra chất mủ nhầy
chán ăn
mệt mỏi
suy hô hấp
tử vong
sưng nề vùng dưới hàm
sưng hạch vùng cổ
khó thở
khàn tiếng
ho
tắc đường thở
nhanh chóng",Không có,"10 ngày, đôi khi",A36,Bệnh bạch hầu,0.7407
bàn chân khoèo,"bàn chân khoèo có thể nhận biết đơn giản qua quan sát, một trong 2 chân của trẻ có tình trạng cong vào bên trong nghĩa là trẻ bị dị tật cơ xương khớp này. bên cạnh đó, những dấu hiệu lâm sàng khác cũng có thể xảy ra đồng thời bao gồm: (3) có nếp nhăn sâu trong lòng bàn chân bàn chân và bắp chân ngắn hơn bình thường cơ bắp chân bị bàn chân khoèo ngắn hơn bình vòm bàn chân cao bất thường cứng mắt cá chân kích thước của ngón chân cái ngắn hơn bình thường các cơ vùng cẳng chân có thể bị teo hoặc nặng hơn là liệt tình trạng dị tật các chi này không gây đau cho trẻ ở giai đoạn thơ ấu, đặc biệt là những trường hợp bàn chân khoèo vô căn không kèm bệnh lý. trẻ có thể sinh hoạt bình thường, tuy nhiên chân bị khoèo sẽ không phát triển tốt và có những dấu hiệu bất thường ở trên.","cong bàn chân
nếp nhăn sâu lòng bàn chân
bắp chân ngắn
cơ bắp chân ngắn
vòm bàn chân cao bất thường
cứng mắt cá chân
ngón chân cái ngắn
teo cơ vùng cẳng chân
liệt cơ vùng cẳng chân",đau,không có,Q66.0,Bàn chân khoèo,1.0
bàn chân rũ,"tình trạng bàn chân rũ gây nhiều khó khăn cho bệnh nhân khi nâng phần phía trước bàn chân. do đó, chân bị kéo lê trên sàn khi người bệnh di chuyển. để tránh tình trạng này, người bệnh thường nâng cao đùi khi đi lại, tương tự thao tác leo cầu thang, để hỗ trợ bàn chân chạm vào sàn. dáng đi kỳ lạ này có thể khiến người bệnh phải đặt chặt chân xuống sàn với mỗi bước đi. một số trường hợp, vùng da trên cùng của bàn chân và ngón chân có thể bị tê liệt. (2) tình trạng rũ bàn chân thường chỉ ảnh hưởng một bên chân. tuy nhiên, tùy theo nguyên nhân gây bệnh, chứng thả bàn chân cũng có thể khiến cả hai chân của người bệnh bị ảnh hưởng.","tê liệt vùng da bàn chân
tê liệt ngón chân",Không có,không có,Q72.7,Bàn chân chẻ,0.732
bàn chân vẹo,"dấu hiệu nhận biết dị tật bàn chân vẹo có thể được phát hiện dễ dàng sau khi trẻ chào đời. bệnh nhi sẽ có những triệu chứng như biến dạng bàn chân vẹo vào trong; khi thăm khám sờ thấy cứng, dây chằng và cơ ở bàn chân có dấu hiệu co rút hoặc bàn chân khép hay gập lòng. những dấu hiệu bàn chân vẹo thường gặp bao gồm: phần trước và giữa bàn chân khép và nghiêng vào trong bàn chân gập lòng mép ngoài bàn chân cong hơn bình thường xuất hiện nhiều nếp lằn da ở sau gót bàn chân và giữa bàn chân ngón chân cái ngắn hơn so với bình thường cơ tại vùng cẳng chân có thể bị teo hoặc liệt một vài dị tật khác có khả năng xuất hiện cùng lúc cần được tầm soát song song như trật khớp háng, cứng khớp gối, trật khớp tại vùng xương bánh chè, cứng khớp khuỷu tay","biến dạng bàn chân vẹo
bàn chân gập lòng
teo cơ vùng cẳng chân
liệt cơ tại vùng cẳng chân
liệt một vài dị tật khác
trật khớp háng
hardtendon và khớp gối cứng
hardtendon và khớp khuỷu tay cứng",Không có,sau khi trẻ chào đời,Q66.4,Bàn chân gót vẹo ra ngoài,0.8141
bàng quang tăng hoạt,"theo các chuyên gia trung tâm tiết niệu thận học, hệ thống bvđk tâm anh, nếu bị bàng quang tăng hoạt, người bệnh có thể xuất hiện các triệu chứng sau đây: cảm thấy đột ngột muốn đi tiểu và sợ bị rò rỉ nước tiểu tiểu gấp ngay khi vừa có cảm giác buồn tiểu đi tiểu thường xuyên, trên 8 lần trong 24 giờ thức dậy hơn 2 lần trong đêm để đi tiểu","đột ngột muốn đi tiểu
sợ bị rò rỉ nước tiểu
tiểu thường xuyên",Không có,đột ngột,N81.1,Sa bàng quang,0.6345
băng huyết sau sinh,"hiện tượng này có thể được cảnh báo bởi các triệu chứng sau: ra máu nhiều một cách bất thường trong vòng 24 giờ đầu sau khi sinh; máu chảy có màu đỏ tươi, rỉ ra liên tục; mạch nhanh, huyết áp tụt, tay chân lạnh, vã mồ hôi, da xanh xao. trường hợp ra máu nhiều có thể gây sốc. máu chảy ứ trong buồng tử cung làm tử cung tăng thể tích: đáy tử cung lên cao dần, tử cung to ra theo bề ngang, mềm nhão.","ra máu nhiều
mạch nhanh
huyết áp tụt
tay chân lạnh
vã mồ hôi
da xanh xao
sốc
buồng tử cung chảy ứ
tử cung tăng thể tích
tử cung to ra
tử cung mềm nhão",Không có,liên tục,O72,Chảy máu sau đẻ,0.6251
bệnh bạch cầu,"các triệu chứng, biểu hiện bệnh bạch cầu có thể khác nhau tùy thuộc vào loại bệnh và mức độ tiến triển của bệnh. ví dụ, một người bệnh mạn tính có thể không gặp triệu chứng đáng chú ý ở giai đoạn đầu. những dấu hiệu của bệnh bạch cầu xảy ra phổ biến gồm: mệt mỏi, dễ cảm thấy mệt mỏi. giảm cân không rõ lý do, chán ăn. đổ mồ hôi đêm hoặc sốt, ớn lạnh. nhạy cảm hoặc đau ở xương, khớp. thường xuyên bị nhiễm trùng hoặc nhiễm trùng nghiêm trọng. bị đau hoặc có cảm giác bị đầy dưới xương sườn bên trái. hụt hơi. sưng hạch bạch huyết tại cổ, nách, bẹn. gan hoặc lách to. da niêm nhợt nhạt. dễ bị bầm tím, chảy máu, bao gồm tình trạng chảy máu nướu răng, chảy máu mũi, phát ban giống các đốm đỏ nhỏ trên da (xuất huyết) hoặc xuất hiện những mảng da tối màu hay có màu tím.","mệt mỏi
chán ăn
nhợt nhạt
chảy máu mũi
sưng hạch bạch huyết tại cổ
hạch bạch huyết tại cổ
đau ở xương
chảy máu
bầm tím
đổ mồ hôi
chảy máu nướu răng
phát ban","giảm cân
giảm cân không rõ lý",thường xuyên,C93,Bệnh bạch cầu đơn nhân,0.7768
bệnh cơ tim,"bệnh cơ tim ở giai đoạn đầu thường không xuất hiện bất kỳ dấu hiệu hay triệu chứng nào. nhiều người mắc bệnh không có triệu chứng cho đến khi tình trạng bệnh cơ tim trở nên nặng hơn. các triệu chứng phổ biến bao gồm: (1) hụt hơi, mệt mỏi, khó thở khi gắng sức hoặc ngay cả khi nghỉ ngơi. đau vùng hạ sườn phải, buồn nôn, chán ăn. phù chân, tiểu ít. đau ngực. ngất xỉu. nhịp tim không đều, hồi hộp trống ngực. tiếng thổi ở tim khi nghe tim bằng ống nghe. ở trẻ sơ sinh và trẻ nhỏ, có thể bị nôn mửa, tiêu chảy, khó ăn, khó thở, quấy khóc, tăng trưởng kém.","hụt hơi
mệt mỏi
khó thở khi gắng sức
chán ăn
ngất xỉu
hồi hộp
khó thở
phù chân
đau vùng hạ sườn phải
buồn nôn
đau ngực
tiêu chảy
tăng trưởng kém",Không có,không có,I42,Bệnh cơ tim do thiếu máu cục bộ cơ tim,1.0
bệnh cơ tim giãn,"khó thở, hụt hơi, đặc biệt là khi gắng sức sưng phù bàn chân, tăng cân và tăng vòng bụng cao huyết áp mạch nhanh, nhịp tim không đều tĩnh mạch cổ nổi thở khò khè chóng mặt và ngất xỉu hồi hộp, đánh trống ngực nhồi máu não do cục máu đông từ tim chạy lên não đau tức ngực mệt mỏi, không thể tập thể dục hoặc thực hiện các hoạt động như bình thường.","khó thở
hụt hơi
sưng phù bàn chân
tăng cân
tăng vòng bụng
cao huyết áp
mạch nhanh
nhịp tim không đều
thở khò khè
chóng mặt
ngất xỉu
hồi hộp
đánh trống ngực
nhồi máu não
cục máu đông
đau tức ngực
mệt mỏi","ngất xỉu
hồi hộp
thở khò khè
chóng mặt",không có,I42.0,Bệnh cơ tim giãn,1.0
