query,predicted_labels
"Tôi bị sốt cao, các khớp sưng nóng và đau nhức di chuyển từ khớp này sang khớp khác. Dạo này tôi hay bị khó thở, mệt mỏi, tim đập mạnh hồi hộp và có nổi vài cục sần cứng dưới da.","bệnh thấp tim, hội chứng sốc nhiễm độc, chèn ép khoang dưới mỏm cùng vai, viêm buồng trứng, nhiễm trùng hậu sản"
"Bé nhà tôi bú rất kém, hay vã mồ hôi lạnh, thở khò khè và thở nhanh. Da bé xanh xao, đặc biệt là môi và đầu ngón tay chân hay bị tím tái khi bé quấy khóc, bé cũng rất chậm lớn.","bệnh tim bẩm sinh, tăng thông khí, u mềm treo, hội chứng urê huyết tán huyết, tim bẩm sinh ebstein"
"Bé nhà tôi rất lười bú, kém ăn, tăng cân chậm và hơi nhẹ cân. Lúc bú bé hay đổ mồ hôi, mệt mỏi và thi thoảng có vẻ khó thở.","viêm phổi, bệnh tim bẩm sinh tím, basedow, cúm a h1n1, bướu cổ"
"Môi và đầu ngón tay chân của bé nhà tôi hay bị xanh tím ngắt. Bé thở gấp, đau ngực, hay quấy khóc đổ mồ hôi khi bú. Cháu lớn rất chậm và luôn trong trạng thái mệt mỏi lả đi.","u mềm treo, bệnh tim bẩm sinh tím, hội chứng urê huyết tán huyết, viêm phổi, hẹp van động mạch chủ"
Ngực tôi hay bị sưng đau và căng tức theo chu kỳ kinh nguyệt. Thỉnh thoảng tôi sờ thấy có cục cứng lổn nhổn bên trong vú nhưng không bị đau gắt hay tấy đỏ da.,"bỏng, viêm bờ mi mắt, nhiễm nấm candida (nhiễm trùng nấm men), suy thận, nhiễm trùng hậu sản"
"Tôi hay bị sốt nhẹ dai dẳng, mệt mỏi và đau nhức toàn thân. Các khớp tay chân tôi sưng nóng, đau cơ và các khớp có dấu hiệu cong vẹo, phì đại to ra làm cử động khó khăn.","nhiễm trùng hậu sản, hội chứng urê huyết tán huyết, nhiễm khuẩn hậu sản, nấm da (hắc lào), chèn ép khoang dưới mỏm cùng vai"
"Tôi hay bị khó thở, chóng mặt và xây xẩm mặt mày khi làm việc nhà. Ngực tôi thi thoảng tức nặng khó chịu, hai mắt cá chân bị sưng phù và cân nặng tăng lên rất nhanh.","u mềm treo, hội chứng urê huyết tán huyết, nấm da (hắc lào), bỏng, hội chứng tiền kinh nguyệt"
"Thỉnh thoảng tôi bị đau tức nặng ngực, khó thở và rất nhanh mệt khi vận động. Kèm theo đó là triệu chứng hồi hộp, đánh trống ngực liên hồi, vã mồ hôi và hay hoa mắt chóng mặt.","block nhánh trái, block nhánh phải, trụy tim, nhồi máu cơ tim cấp, bướu cổ"
"Tôi hay bị những cơn chóng mặt, choáng váng, nhịp tim đập hụt nhịp hoặc rất chậm. Có lúc tôi mệt lả, khó thở trầm trọng và cảm giác xây xẩm như sắp ngất xỉu đến nơi.","block nhánh tim, phình động mạch vành, xuất huyết dạ dày, trụy tim, block nhánh trái"
"Tôi hay bị đau tức ngực, vã mồ hôi và đánh trống ngực hồi hộp. Tôi mệt, khó thở, hay bị ho dai dẳng không dứt và thỉnh thoảng hai chân bị sưng nề, thi thoảng còn choáng váng suýt ngất.","block nhánh trái, block nhánh phải, trụy tim, bệnh cơ tim giãn, bướu cổ"
"Tôi hay bị khó thở và đau tức ngực mỗi khi làm việc hơi gắng sức. Kèm theo đó là người mệt mỏi rã rời, buồn nôn, hay chóng mặt xây xẩm khi đứng lên và có lúc như sắp ngất xỉu đi.","block nhĩ thất, block nhánh trái, cúm a h5, block nhánh phải, suy thận"
"Tự nhiên tôi bị đau nhói dữ dội ở vùng ngực lan xuyên ra sau lưng, cảm giác đau rát như bị xé toạc ra. Tôi bị chóng mặt ngất xỉu, tụt huyết áp và bỗng dưng nói khó, tê liệt một bên tay chân.","u mềm treo, viêm xung huyết hang vị dạ dày, xuất huyết dạ dày, hội chứng volkmann, viêm đầu ti"
"Hôm qua bị ngã trẹo chân, giờ khớp cổ chân tôi sưng to, bầm tím và đau nhức dữ dội. Cứ đứng tỳ chân xuống đất là đau điếng không chịu nổi, khớp cũng bị cứng đơ lại khó cử động.","nấm da (hắc lào), hội chứng urê huyết tán huyết, vỡ túi ngực, u mềm treo, đứt dây chằng"
"Chu kỳ kinh nguyệt của tôi rất thất thường, kéo dài cả tháng mới có. Dạo này da tôi rất nhờn, nổi mụn trứng cá, rụng tóc hói đầu nhưng lông tay lông mặt lại mọc rậm lên, da hay bị sạm đen ở nếp gấp và cân nặng tăng nhanh, bụng thỉnh thoảng hay đau âm ỉ.","bỏng, mất kinh, buồng trứng đa nang, rậm lông, u mềm treo"
"Tôi sờ thấy có cục u hình tròn, bờ trơn láng, di chuyển được ở dưới da vú. Nó không đau lắm nhưng thỉnh thoảng gần tới ngày hành kinh thì cục u căng lên và hơi đau nhức khi chạm vào.","chèn ép khoang dưới mỏm cùng vai, vỡ túi ngực, nang nước thừng tinh ở trẻ em, áp xe má, xơ vữa động mạch ngoại biên"
"Dạo này tôi hay đi tiểu ra máu nhưng không đau buốt, chỉ thấy đau tức vùng hông lưng âm ỉ. Tôi cũng bị sốt, sụt cân mệt mỏi, huyết áp tăng cao, tĩnh mạch bụng nổi rõ và hai chân bị phù nề sưng to.","bướu thận, nang nước thừng tinh ở trẻ em, viêm cân gan chân, viêm mao mạch dị ứng, đậu mùa khỉ"
"Mấy hôm nay tôi bị hắt hơi, sổ mũi, nghẹt mũi liên tục không dứt. Người tôi mệt mỏi, ê ẩm nhức mỏi khắp cơ bắp, hơi đau đầu, ho húng hắng và có sốt nhẹ hâm hấp.","viêm xoang mũi dị ứng, viêm đường hô hấp trên, viêm mũi, cảm lạnh, viêm tiểu phế quản"
"Dạo này tôi nhìn các vật ở xa như biển số xe rất mờ, luôn phải nheo mắt lại mới thấy mờ mờ. Cố nhìn lâu thì mắt rất mỏi, khô xót phải chớp liên tục và hay bị nhức váng cả đầu.","chắp mắt, chèn ép khoang dưới mỏm cùng vai, lang ben, loạn thị, hội chứng sudeck (loạn dưỡng giao cảm phản xạ)"
"Nước tiểu của tôi dạo này nổi rất nhiều bọt lâu tan, thỉnh thoảng có lẫn chút màu đỏ như máu. Buổi sáng ngủ dậy tôi hay bị sưng phù húp quanh hai mí mắt, hai bàn chân cũng sưng nề và huyết áp thì đo thấy tăng cao.","nấm da (hắc lào), hội chứng goodpasture, hội chứng tiền kinh nguyệt, viêm mũi, hội chứng urê huyết tán huyết"
"Da con tôi nổi các mảng phát ban đỏ ở mặt và các nếp gấp như khuỷu tay, kheo chân. Chỗ da đó rất khô, đóng vảy, tấy lên, thỉnh thoảng rỉ nước vàng và bé hay gãi ngứa liên tục.","nấm da (hắc lào), u mềm treo, lang ben, hội chứng urê huyết tán huyết, sưng bao quy đầu"
"Trên da tôi nổi các nốt sần ửng đỏ hình tròn lốm đốm như đồng xu, sưng tấy và ngứa ngáy điên cuồng nhất là về đêm. Sau đó vùng da đó khô nhăn nheo lại, đóng vảy cứng và bong tróc ra rất khó chịu.","nấm da (hắc lào), chàm đồng tiền, sưng bao quy đầu, lang ben, áp xe rò luân nhĩ"
"Mí mắt của tôi tự nhiên mọc một cục u sưng tấy lên, chớp mắt thấy hơi cộm và dạo này nhìn hơi mờ.","chắp mắt, hói đầu, áp xe rò luân nhĩ, trĩ nội, ung thư biểu mô tiểu thùy tại chỗ"
"Cháu nhà tôi chậm biết lật, biết bò và đi. Cháu cầm nắm đồ vật rất yếu và dường như không hiểu những gì người lớn nói hay biểu đạt cảm xúc.","chậm phát triển, lang ben, chắp mắt, ho gà, thiếu máu"
"Dạo này tôi đi lại rất khó khăn, cứ bước đi là thấy mệt mỏi và đau lưng. Cảm giác hai chân không đều nhau, bước khập khiễng thấp cao.","viêm khớp phản ứng, chèn ép khoang dưới mỏm cùng vai, lang ben, ung thư hắc tố da, chắp mắt"
"Tôi đi bộ hay bị đau ở hai đầu gối và mắt cá chân. Hai đầu gối cứ chụm sát vào nhau mà hai bàn chân lại tách ra, bước đi lỏng lẻo khó khăn.","hội chứng urê huyết tán huyết, hội chứng goodpasture, block nhánh trái, chắp mắt, sa tinh hoàn"
"Sau cú va đập hôm qua, tôi bị nhức đầu kinh khủng, hay buồn nôn và chóng mặt. Tôi luôn cảm thấy buồn ngủ, lúc tỉnh thì lú lẫn và rất sợ ánh sáng, tiếng ồn.","chấn thương sọ não, nhiễm trùng não, viêm gan tự miễn, nhiễm trùng tai, sốc phản vệ"
"Vai tôi rất nhức mỏi, cứ giơ tay lên hay xoay tay ra sau là đau nhói. Đêm ngủ không nằm nghiêng được vì đau đến mất ngủ, giờ khớp vai có vẻ cứng đơ lại.","chèn ép khoang dưới mỏm cùng vai, xơ vữa động mạch ngoại biên, viêm mũi, vỡ túi ngực, đau dây thần kinh chẩm"
"Tôi đi tiểu thấy đau rát buốt, vùng kín tiết dịch hôi, ngứa dữ dội và thỉnh thoảng chảy máu. Lúc quan hệ tình dục cũng rất đau, thi thoảng kèm theo sốt và buồn nôn.","nhiễm nấm candida (nhiễm trùng nấm men), chlamydia, vảy nến, xoắn tinh hoàn, nang tuyến bartholin (viêm tuyến bartholin)"
"Thỉnh thoảng tôi bị chóng mặt quay cuồng, buồn nôn và mất thăng bằng không đứng vững được. Cảm giác người cứ lâng lâng bồng bềnh và mắt hơi mờ đi.","chắp mắt, phình động mạch chủ ngực, chấn thương sọ não, chóng mặt kịch phát lành tính, viêm dây thần kinh tiền đình"
"Bé nhà tôi từ lúc sinh ra môi và móng tay hay bị tím tái, da dẻ xanh xám lạnh toát. Cháu thở rất nhanh, tim đập thình thịch, bú kém và chậm tăng cân.","tứ chứng fallot, teo thực quản, thiếu máu, viêm đầu ti, viêm xương"
Ban ngày tôi hay bị những cơn buồn ngủ ập đến không cưỡng lại được. Có lúc đang cười nói tự nhiên người mềm nhũn ra. Đêm ngủ thì hay bị bóng đè và gặp ảo giác.,"chứng ngủ rũ, amip ăn não, lang ben, u mỡ, viêm mũi"
"Bụng tôi hay bị chướng hơi và đau quặn thắt dữ dội, đặc biệt ở vùng bụng dưới bên trái. Cứ lúc nào đau là phải chạy đi vệ sinh gấp, lúc thì tiêu chảy phân lỏng lúc thì táo bón.","hội chứng bartter, rối loạn tiêu hóa ở trẻ, hội chứng ruột kích thích, co thắt đại tràng, viêm trực tràng"
"Thỉnh thoảng đang ngồi nghỉ tôi lại bị đau thắt ngực trái dữ dội, cảm giác lồng ngực bị bóp chặt lan lên cả hàm. Cơn đau khiến tôi vã mồ hôi, suýt mất ý thức.","bệnh mạch vành, viêm xoang, co thắt mạch vành, tăng thông khí, trụy tim"
"Tôi ăn uống dạo này rất hay bị nghẹn, nuốt thức ăn đặc hay lỏng đều khó. Đêm ngủ thức ăn cứ trào ngược nôn ọe ra ngoài, ngực hay bị đau tức đè ép và sụt cân khá nhiều.","ung thư thực quản, viêm mũi, co thắt tâm vị, suy thận, lao hệ thần kinh"
"Mỗi lần nuốt tôi thấy nghẹn ứ ở cổ họng, cảm giác có gì chặn ngang ngực rất khó chịu. Kèm theo đó là những cơn đau tức ngực, hay bị ợ nóng và ợ trớ thức ăn.","co thắt thực quản, u mềm treo, bệnh mạch vành, block nhánh phải, block nhĩ thất"
"Cháu nhà tôi lười ăn, chậm mọc răng, chậm biết bò đi và đổ mồ hôi trộm ban đêm rất nhiều. Ngực cháu hơi nhô ra, chân vòng kiềng và ngủ hay bị giật mình quấy khóc.","u mềm treo, nấm da (hắc lào), bệnh tim bẩm sinh tím, viêm mũi, viêm xoang"
"Bé nhà tôi bú kém, chậm lớn và mỗi lần khóc hay bú là vã mồ hôi đầm đìa. Cháu thở rất nhanh dai dẳng, nhịp tim đập loạn và lúc nào cũng trông mệt mỏi.","block nhánh trái, hẹp động mạch phổi, ung thư lá lách, hội chứng fanconi, tim bẩm sinh ebstein"
"Đột nhiên tôi bị đau quặn dữ dội từ hông lan ra sau lưng và xuống bụng dưới. Tôi bị buồn nôn, đi tiểu thấy buốt rát, nước tiểu đục lợn cợn và hơi ớn lạnh, sốt.","nấm da (hắc lào), thận móng ngựa, nhiễm nấm candida (nhiễm trùng nấm men), nhiễm khuẩn đường tiết niệu, viêm bể thận"
"Đột nhiên nửa người tôi bị yếu liệt, không nhấc tay chân lên được, nói năng lộn xộn lắp bắp. Mắt tôi mờ tịt một bên, chóng mặt và lảo đảo mất thăng bằng, diễn ra chừng mười phút rồi hết.","u mềm treo, thiếu máu, hội chứng urê huyết tán huyết, chắp mắt, hẹp mạch máu não"
"Bụng tôi hay đau quặn, đầy hơi và đi tiêu chảy liên tục, thỉnh thoảng có lẫn máu. Tôi bị mót rặn đau rát vùng hậu môn, sút cân trầm trọng, người suy nhược và hay sốt.","hội chứng ruột kích thích, trĩ hỗn hợp, lỵ amip cấp, hội chứng bartter, viêm đường tiết niệu"
"Tôi bị sốt rất cao, ớn lạnh, đau nhức đầu và mệt mỏi rã rời khắp cơ thể. Kèm theo đó là hắt hơi, sổ mũi nghẹt mũi, ho khan và thỉnh thoảng thấy khó thở.","viêm họng xung huyết, viêm thanh quản cấp tính, viêm xoang mũi dị ứng, cúm a h5, viêm đường hô hấp trên"
"Tôi sốt rất cao liên tục không hạ, đau đầu và nhức mỏi cơ thể kinh khủng. Tôi bị nghẹt mũi, ho khan, buồn nôn và mấy hôm nay thấy tức ngực, khó thở.","cúm a h1n1, viêm đường hô hấp trên, cúm, viêm họng xung huyết, chèn ép khoang dưới mỏm cùng vai"
"Người tôi đau nhức cơ bắp dữ dội, ớn lạnh vã mồ hôi và sốt hầm hập. Mắt tôi đỏ và hay chảy nước, kèm theo ho, sổ mũi, chán ăn và cảm thấy uể oải lả đi.","nấm da (hắc lào), sưng bao quy đầu, cúm a h1n1, cúm a h5, viêm đường hô hấp dưới"
"Tôi bị sốt cao rét run, đau đầu và nhức mỏi cơ bắp rã rời. Gần đây tim tôi đập rất nhanh, tức ngực, khó thở thở gấp và có lúc mê man mờ mịt.","viêm mũi họng, cúm a h5, chèn ép khoang dưới mỏm cùng vai, viêm đường hô hấp dưới, chắp mắt"
"Tôi bị sốt cao đột ngột trên 38 độ, ho và rát họng, các cơ đau nhức rã rời. Bụng đau nôn ói và hiện tại thở rất gấp, khó thở và đau thắt ngực.","phế cầu khuẩn, bạch cầu cấp, bệnh mạch vành, trụy tim, áp xe má"
"Dạo này tôi lúc nào cũng thấy phừng phừng sợ nóng, đổ mồ hôi đầm đìa, tay chân run rẩy. Tim đập nhanh hồi hộp, tính tình hay cáu gắt, khó ngủ và sút cân rất nhanh dù tôi ăn nhiều.","cường giáp, u mềm treo, hội chứng urê huyết tán huyết, mất ngủ, viêm khớp nhiễm khuẩn"
"Chỗ vết chó cắn hôm nọ giờ cứ ngứa ran châm chích bỏng rát. Dạo này tôi hay bị bồn chồn, sốt đau đầu, rất sợ gió sợ nước, nuốt khó và hay tiết nhiều nước bọt sủi bọt mép.","dại, viêm đầu ti, nhiễm nấm candida (nhiễm trùng nấm men), viêm họng mãn tính, nấm da (hắc lào)"
"Tôi bị đau quặn vùng bụng hạ sườn phải, đầy hơi chướng bụng và hay buồn nôn, kèm theo sốt. Người nhà bảo da và tròng trắng mắt của tôi có vẻ vàng ệch ra.","hội chứng ruột kích thích, sỏi tụy, lỵ amip cấp, túi thừa đại tràng, viêm loét dạ dày tá tràng"
"Bé gái nhà tôi mới chưa đầy 8 tuổi mà ngực đã bắt đầu phát triển to ra, mọc lông nách lông mu. Cơ thể bé lớn phổng phao rất nhanh, mọc mụn trứng cá và có mùi cơ thể.","gai đen, u mềm treo, u mỡ, viêm đầu ti, viêm tai"
"Trên cẳng chân tôi tự nhiên nổi một cục u sưng nhỏ màu nâu xám, bóp vào 2 bên thấy vùng da lõm xuống. Nó thỉnh thoảng hơi ngứa và sờ chạm mạnh vào thì thấy đau nhẹ.","nấm da (hắc lào), chốc mép, hội chứng urê huyết tán huyết, dermatofibroma, phù kết mạc"
"Thỉnh thoảng tôi bị những cơn nhức đầu, tay chân yếu đi lóng ngóng khó cử động. Có lúc bị co giật, nói năng khó khăn mất ngôn ngữ và hay bị ngứa ran tê liệt bất thường.","thiếu máu, hội chứng urê huyết tán huyết, nhiễm trùng não, viêm xương tai chũm, u mềm treo"
"Hai mắt tôi tự nhiên đỏ hoe, mí mắt sưng húp lên và rất ngứa ngáy nóng rát. Lúc nào cũng có cảm giác cộm xót như có cát, chảy nước mắt liên tục và cực kỳ chói khi ra nắng.","viêm bờ mi mắt, nấm da (hắc lào), phù kết mạc, dị ứng mắt, ho gà"
"Vừa ăn xong là môi, lưỡi và họng tôi sưng vù lên, khoang miệng ngứa ran. Khắp người nổi mề đay đỏ ngứa điên cuồng, bụng đau quặn nôn mửa, kèm theo chóng mặt khó thở muốn ngất xỉu.","bỏng, gãy xương, hội chứng sốc nhiễm độc, dị ứng thực phẩm, rò mao mạch"
"Bao quy đầu của cháu nhà tôi không thể tuột xuống được, dính chặt vào. Ở kẽ bên trong có đọng những cặn dịch màu trắng đục, thỉnh thoảng sờ vào cháu hơi giật mình.","lang ben, giãn ống dẫn sữa, viêm xương tai chũm, chắp mắt, ung thư biểu mô tiểu thùy tại chỗ"
"Hai ngón tay của bé nhà tôi bị dính liền vào nhau bởi một lớp da và mô mềm, không có khoảng trống ở giữa. Tôi sờ nắn thì thấy có vẻ các xương bên trong cũng dính chặt lại với nhau.","lang ben, u mỡ, chắp mắt, u mềm treo, hội chứng urê huyết tán huyết"
"Nước tiểu của tôi dạo này nổi rất nhiều bọt sủi bọt lâu tan, lại hay phải đi tiểu. Sáng dậy mặt và chân hay bị sưng phù nề, người mệt mỏi chán ăn và hay bị chuột rút về đêm.","nấm da (hắc lào), bỏng, hội chứng urê huyết tán huyết, hội chứng tiền kinh nguyệt, viêm cầu thận"
"Cứ lúc bụng đói hoặc sau khi ăn no là tôi bị đau âm ỉ, rát vùng trên rốn. Bụng lúc nào cũng đầy hơi, tức nặng ấm ách, hay ợ hơi ợ chua và thỉnh thoảng hơi thở có mùi hôi đắng.","đau dạ dày, gai đen, viêm xương tai chũm, viêm họng, viêm xung huyết hang vị dạ dày"
"Gáy và nửa đầu sau của tôi hay bị đau nhói buốt như điện giật, rát bỏng. Vùng da đầu rất nhạy cảm, chải tóc hoặc chạm nhẹ vào cũng đau rát, đau lan ra cả hốc mắt làm tôi mất ngủ.","đau dây thần kinh chẩm, viêm mũi, chèn ép khoang dưới mỏm cùng vai, viêm đầu ti, nhiễm trùng hậu sản"
"Nửa mặt tôi thỉnh thoảng lại bị những cơn đau co thắt mạnh giật liên hồi như điện giật. Cứ há miệng nhai cơm, nói chuyện, cạo râu hay có gió lạnh tạt vào mặt là nó lại kích hoạt cơn đau buốt.","viêm cân gan chân, bỏng, viêm xoang mũi dị ứng, bệnh mạch vành, đau dây thần kinh sinh ba"
"Bụng tôi hay đau quặn thắt từng cơn ở nhiều vùng, kèm theo đầy hơi chướng bụng, đi vệ sinh lúc thì lỏng tiêu chảy lúc thì táo bón. Cứ đi đại tiện xong thì bụng lại nhẹ nhõm và đỡ đau hẳn.","hội chứng ruột kích thích, nhiễm ký sinh trùng, suy tuỵ, co thắt đại tràng, hội chứng bartter"
